gen,time,best_cost
0,0.0,612884.9958054839
1,4.689051151275635,476445.1843995393
2,6.966295003890991,476445.1843995393
3,9.369040966033936,476445.1843995393
4,10.837654113769531,476445.18439953926
5,12.77196216583252,476445.18439953926
6,13.958271980285645,476445.18439953926
7,15.5778648853302,476445.18439953926
8,17.231719970703125,476445.18439953926
9,18.67978811264038,476445.18439953926
10,19.902310848236084,476445.18439953926
11,21.21752405166626,476445.18439953926
12,22.6804780960083,476445.18439953926
13,24.372400283813477,476445.18439953926
14,25.646380186080933,476445.18439953926
15,26.9033420085907,476445.18439953926
16,28.08314299583435,476445.18439953926
17,29.682962894439697,476445.18439953926
18,31.364715099334717,476445.18439953926
19,32.58194899559021,476445.18439953926
20,33.69275999069214,476445.18439953926
21,35.21011304855347,476445.18439953926
22,36.73176717758179,476445.18439953926
23,38.135822057724,476445.18439953926
24,39.41578125953674,476445.18439953926
25,40.59682011604309,476445.18439953926
26,41.594878911972046,476445.18439953926
27,42.93707799911499,476445.18439953926
28,44.078304052352905,476445.18439953926
29,45.24848413467407,476445.18439953926
